Store,Product Name,Product Link,Price,Num Reviews,Avg Rating,Calories,Protein (g),Total Num Servings,Serving Size,Serving Size (g)
GNC,Myprotein Clear Whey Isolate - Lemonade,https://www.gnc.com/clear-protein/607317.html,34.99,8,4.0,80.0,20.0,20.0,1 Scoop,25.0
GNC,GNC AMP Wheybolic™ - Strawberries and Cream,https://www.gnc.com/whey-protein/012355.html,29.99,1189,4.0,200.0,40.0,10.0,2 Scoop(s),
GNC,Dymatize® ISO100 Hydrolyzed - Gourmet Vanilla,https://www.gnc.com/whey-protein/360015.html,49.99,305,4.5,110.0,25.0,20.0,1 Scoop(s),
GNC,Myprotein Clear Whey Isolate - Strawberry,https://www.gnc.com/clear-protein/607319.html,34.99,8,4.0,90.0,20.0,20.0,1 Scoop,25.0
GNC,Vega® Premium Plant Based Protein - Vanilla,https://www.gnc.com/plant-based-protein/490027.html,54.99,788,4.5,150.0,30.0,20.0,1 Scoop(s),
GNC,Raw Nutrition Itholate Protein - Frosted Frenchie,https://www.gnc.com/whey-protein/604780.html,54.99,35,4.5,130.0,25.0,25.0,1 Scoop,
GNC,Optimum Nutrition Gold Standard 100% Whey™ - Double Rich Chocolate,https://www.gnc.com/whey-protein/350280.html,44.99,2104,4.5,120.0,24.0,29.0,1 Rounded Scoop(s),
GNC,Optimum Nutrition Gold Standard 100% Whey™ - Vanilla Ice Cream,https://www.gnc.com/whey-protein/350282.html,44.99,2104,4.5,120.0,24.0,29.0,1 Scoop(s),
GNC,GNC AMP Pure Isolate Protein - Strawberry,https://www.gnc.com/whey-protein/414852.html,69.99,749,4.5,120.0,25.0,28.0,1 Scoop,
GNC,GNC AMP Wheybolic™ Ripped - Classic Vanilla,https://www.gnc.com/whey-protein/023461.html,34.99,447,4.5,200.0,40.0,9.0,2 Scoop(s),
GNC,Raw Nutrition Itholate Protein - Birthday Cake,https://www.gnc.com/whey-protein/604726.html,54.99,35,4.5,120.0,25.0,25.0,1 Scoop,
GNC,Optimum Nutrition Gold Standard 100% Whey™ - Chocolate Peanut Butter,https://www.gnc.com/whey-protein/350286.html,44.99,2104,4.5,130.0,24.0,27.0,1 Scoop(s),
